abbreviation,alt_color,alt_name1,alt_name2,alt_name3,classification,color,conference,id,location_capacity,location_city,location_country_code,location_dome,location_elevation,location_grass,location_latitude,location_longitude,location_name,location_state,location_timezone,location_venue_id,location_year_constructed,location_zip,logo,logos,mascot,school,twitter
BUCK,#00316e,,BUCK,Bucknell,fcs,#000060,Patriot,2083,13100,Lewisburg,US,False,151.194931,False,40.9519411,-76.884752,Christy Mathewson-Memorial Stadium,PA,America/New_York,3676,1924,17837,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,,Bison,Bucknell,@Bucknell_FB
BUENA,#001440,,BUENA,Buena Vista,iii,#feba12,American Rivers,63,3000,Storm Lake,US,False,,,42.6452817,-95.1992726,J. Leslie Rollins Stadium,IA,,5809,,50588,http://a.espncdn.com/i/teamlogos/ncaa/500/63.png,,Beavers,Buena Vista,
BUF,#ebebeb,,BUF,Buffalo,fbs,#041A9B,Mid-American,2084,30270,Amherst,US,False,181.5759735,False,42.9991334,-78.7775113,UB Stadium,NY,America/New_York,3965,1993,14260,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,,Bulls,Buffalo,@UBFootball
BUF,,,BUF,BUFFALOST,iii,,Liberty League,2085,3000,Buffalo,US,False,,,42.8867166,-78.8783922,Coyer Field,NY,,5810,,14026,http://a.espncdn.com/i/teamlogos/ncaa/500/2085.png,,Bengals,Buffalo State,
BUT,#00a3e0,,BUT,Butler,fcs,#0d1361,Pioneer,2086,5647,Indianapolis,US,False,221.1980591,False,39.8444694,-86.1659242,Butler Bowl,IN,America/Indiana/Indianapolis,3664,1928,46721,http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,,Bulldogs,Butler,@ButlerUFootball
,,,,,,,,1000947,,,,,,,,,,,,,,,,,,Butler C.C.,
,,,,,,,,1000948,,,,,,,,,,,,,,,,,,Butler C.C.,
,,,,,,,,1000939,,,,,,,,,,,,,,,,,,Butler C.C.,
,,,,,,,,1000965,,,,,,,,,,,,,,,,,,Butler County (KS),
BYU,#ffffff,Brigham Young,BYU,BYU,fbs,#003da5,Big 12,252,63470,Provo,US,False,1412.097046,True,40.2575347,-111.6545247,LaVell Edwards Stadium,UT,America/Denver,3801,1964,84602,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,,Cougars,BYU,@BYUFootball
CAL,#ffc423,,CAL,California,fbs,#031522,ACC,25,62467,Berkeley,US,False,125.3108063,False,37.8710434,-122.2507729,California Memorial Stadium,CA,America/Los_Angeles,3831,1923,94720,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,,Golden Bears,California,@CalFootball
CALLUTH,#fec223,California Lutheran,CALLUTH,Cal Luthrn,iii,#3b2361,So. Cal.,2094,2000,Thousand Oaks,US,False,,,34.1705609,-118.8375937,William Rolland Stadium,CA,,5811,,94707,http://a.espncdn.com/i/teamlogos/ncaa/500/2094.png,,Kingsmen,California Lutheran University,
,,,,,,,,1000987,,,,,,,,,,,,,,,,,,"California, Pa.",
CP,#eed897,,CP,Cal Poly,fcs,#1E4D2B,Big Sky,13,11075,San Luis Obispo,US,False,84.6832428,True,35.2984123,-120.6650005,Alex G. Spanos Stadium,CA,America/Los_Angeles,1027,2006,93405,http://a.espncdn.com/i/teamlogos/ncaa/500/13.png,,Mustangs,Cal Poly,@CalPolyFootball
